Symbol,GPA
0203232D,1.25
0203233C,1.15
0203233D,1.15
0203234C,2.3
0203234D,2.3
0203235C,2.25
0203235D,2.25
0203236C,2.3
0203236D,2.3
0203237C,1.85
0203237D,1.85
0203238C,1.85
0203238D,1.85
0203239C,1.45
0203239D,1.45
0203240C,1.4
0203240D,1.4
0203241C,1.65
0203241D,1.65
0203242C,1.85
0203242D,1.85
0203243C,1.5
0203243D,1.5
0203244C,1.3
0203244D,1.3
0203245C,1.15
0203245D,1.15
0203246C,1.4
0203246D,1.4
0203247C,1.55
0203247D,1.55
0203248C,1.6
0203248D,1.6
0203249C,1.0
0203249D,1.0
0203251C,1.35
0203251D,1.35
0203252C,1.15
0203252D,1.15
0203253C,1.35
0203253D,1.35
0203254C,1.5
0203254D,1.5
0203255C,1.2
0203255D,1.2
0203256C,1.2
0203256D,1.2
0203257C,2.05
0203257D,2.05
0203258C,1.3
0203258D,1.3
0203259C,2.95
0203259D,2.95
0203261C,1.65
0203261D,1.65
0203262C,1.7
0203262D,1.7
0203263C,1.15
0203263D,1.15
0203264C,1.65
0203264D,1.65
0203265C,1.15
0203265D,1.15
0203266C,1.5
0203266D,1.5
0203267C,1.15
0203267D,1.15
0203268C,1.55
0203268D,1.55
0203269C,1.15
0203269D,1.15
0203270C,1.3
0203270D,1.3
0203271C,1.4
0203271D,1.4
0203272C,1.0
0203272D,1.0
0203273C,1.15
0203273D,1.15
0203274C,1.05
0203274D,1.05
0203275C,1.2
0203275D,1.2
0203276C,1.15
0203276D,1.15
0203277C,1.9
0203277D,1.9
0203278C,1.1
0203278D,1.1
0203279C,1.35
0203279D,1.35
0203280C,1.6
0203280D,1.6
0203281C,1.25
0203281D,1.25
0203282C,1.9
0203282D,1.9
0203283C,1.05
0203283D,1.05
0203284C,1.55
0203284D,1.55
0203285C,1.2
0203285D,1.2
0203286C,1.5
0203286D,1.5
0203287C,1.55
0203287D,1.55
0203288C,1.3
0203288D,1.3
0203289C,1.0
0203289D,1.0
0203290C,1.6
0203290D,1.6
0203291C,1.25
0203291D,1.25
0203292C,1.85
0203292D,1.85
0203293C,1.35
0203293D,1.35
0203294C,1.45
0203294D,1.45
0203295C,1.85
0203295D,1.85
0203296C,1.4
0203296D,1.4
0203297C,1.2
0203297D,1.2
0203299C,1.7
0203299D,1.7
0203300C,1.0
0203300D,1.0
0203302C,1.35
0203302D,1.35
0203304C,1.3
0203304D,1.3
0203305C,1.4
0203305D,1.4
0203306C,2.4
0203306D,2.4
0203307C,1.9
0203307D,1.9
0203308C,1.45
0203308D,1.45
0203309C,1.25
0203309D,1.25
0203310C,1.7
0203310D,1.7
0203312C,2.5
0203312D,2.5
0203313C,2.15
0203313D,2.15
0203314C,1.6
0203314D,1.6
0203316C,1.2
0203316D,1.2
0203317C,1.95
0203317D,1.95
0203318C,1.7
0203318D,1.7
0203319C,1.25
0203319D,1.25
0203320C,1.5
0203320D,1.5
0203321C,1.4
0203321D,1.4
0203322C,1.7
0203322D,1.7
0203323C,1.25
0203323D,1.25
0203324C,1.15
0203324D,1.15
0203325C,1.75
0203325D,1.75
0203326C,1.6
0203326D,1.6
0203327C,1.5
0203327D,1.5
0203328C,1.25
0203328D,1.25
0203329C,1.3
0203329D,1.3
0203330C,1.3
0203330D,1.3
0203331C,3.75
0203331D,3.75
0203332C,1.2
0203332D,1.2
0203333C,1.55
0203333D,1.55
0203334C,1.65
0203334D,1.65
0203335C,2.4
0203335D,2.4
0203336C,1.75
0203336D,1.75
0203337C,1.5
0203337D,1.5
0203338C,1.75
0203338D,1.75
0203339C,1.25
0203339D,1.25
0203340C,1.4
0203340D,1.4
0203341C,2.65
0203341D,2.65
0203342C,1.65
0203342D,1.65
0203343C,1.75
0203343D,1.75
0203344C,2.0
0203344D,2.0
0203345C,1.4
0203345D,1.4
0203346C,1.4
0203346D,1.4
0203347C,1.25
0203347D,1.25
0203348C,1.8
0203348D,1.8
0203349C,1.4
0203349D,1.4
0203350C,2.5
0203350D,2.5
0203351C,1.9
0203351D,1.9
0203352C,1.6
0203352D,1.6
0203353C,1.75
0203353D,1.75
0203354C,1.9
0203354D,1.9
0203355C,1.2
0203355D,1.2
0203356C,1.55
0203356D,1.55
0203357C,2.05
0203357D,2.05
0203358C,2.95
0203358D,2.95
0203359C,2.5
0203359D,2.5
0203360C,1.9
0203360D,1.9
0203361C,1.45
0203361D,1.45
0203362C,2.5
0203362D,2.5
0203363C,1.85
0203363D,1.85
0203364C,1.7
0203364D,1.7
0203365C,2.45
0203365D,2.45
0203367C,1.3
0203367D,1.3
0203368C,1.5
0203368D,1.5
0203369C,2.05
0203369D,2.05
0203370C,2.2
0203370D,2.2
0203372C,1.95
0203372D,1.95
0203373C,2.2
0203373D,2.2
0203374C,1.1
0203374D,1.1
0203375C,1.75
0203375D,1.75
0203376C,1.7
0203376D,1.7
0203377C,2.0
0203377D,2.0
0203378C,1.35
0203378D,1.35
0203379C,1.55
0203379D,1.55
0203380C,1.5
0203380D,1.5
0203381C,1.1
0203381D,1.1
0203382C,1.25
0203382D,1.25
0203383C,1.5
0203383D,1.5
0203384C,2.5
0203384D,2.5
0203385C,2.55
0203385D,2.55
0203386C,1.25
0203386D,1.25
0203387C,1.4
0203387D,1.4
0203388C,1.9
0203388D,1.9
0203389C,1.3
0203389D,1.3
0203390C,1.35
0203390D,1.35
0203391C,1.45
0203391D,1.45
0203392C,2.2
0203392D,2.2
0203393C,2.3
0203393D,2.3
0203394C,1.15
0203394D,1.15
0203396C,1.6
0203396D,1.6
0203397C,1.9
0203397D,1.9
0203398C,2.2
0203398D,2.2
0203399C,2.3
0203399D,2.3
0203400C,2.25
0203400D,2.25
0203401C,1.35
0203401D,1.35
0203402C,1.45
0203402D,1.45
0203403C,1.4
0203403D,1.4
0203404C,2.5
0203404D,2.5
0203405C,2.95
0203405D,2.95
0203406C,1.2
0203406D,1.2
0203407C,1.55
0203407D,1.55
0203408C,1.6
0203408D,1.6
0203409C,1.8
0203409D,1.8
0203410C,1.35
0203410D,1.35
0203411C,1.3
0203411D,1.3
0203412C,2.85
0203412D,2.85
0203413C,1.6
0203413D,1.6
0203414C,2.2
0203414D,2.2
0203415C,1.7
0203415D,1.7
0203416C,1.4
0203416D,1.4
0203417C,2.6
0203417D,2.6
0203418C,1.15
0203418D,1.15
0203419C,1.4
0203419D,1.4
0203420C,1.8
0203420D,1.8
0203421C,1.2
0203421D,1.2
0203422C,1.25
0203422D,1.25
0203423C,1.55
0203423D,1.55
0203424C,1.8
0203424D,1.8
0203425C,2.0
0203425D,2.0
0203426C,1.35
0203426D,1.35
0203428C,1.85
0203428D,1.85
0203429C,2.95
0203429D,2.95
0203430C,2.55
0203430D,2.55
0203431C,1.45
0203431D,1.45
0203432C,1.75
0203432D,1.75
0203433C,1.5
0203433D,1.5
0203434C,1.9
0203434D,1.9
0203435C,1.65
0203435D,1.65
0203436C,1.6
0203436D,1.6
0203437C,1.4
0203437D,1.4
0203438C,2.3
0203438D,2.3
0203439C,2.85
0203439D,2.85
0203440C,1.3
0203440D,1.3
0203441C,1.7
0203441D,1.7
0203442C,1.4
0203442D,1.4
0203443C,1.65
0203443D,1.65
0203444C,1.6
0203444D,1.6
0203445C,1.45
0203445D,1.45
0203446C,3.15
0203446D,3.15
0203447C,1.35
0203447D,1.35
0203448C,1.2
0203448D,1.2
0203449C,2.6
0203449D,2.6
0203450C,1.85
0203450D,1.85
0203451C,2.1
0203451D,2.1
0203452C,1.75
0203452D,1.75
0203453C,1.4
0203453D,1.4
0203454C,1.55
0203454D,1.55
0203455C,2.2
0203455D,2.2
0203456C,2.25
0203456D,2.25
0203457C,2.4
0203457D,2.4
0203458C,1.7
0203458D,1.7
0203459C,1.55
0203459D,1.55
0203460C,1.25
0203460D,1.25
0203461C,1.1
0203461D,1.1
0203462C,1.5
0203462D,1.5
0203463C,1.2
0203463D,1.2
0203464C,3.1
0203464D,3.1
0203465C,1.8
0203465D,1.8
0203466C,1.85
0203466D,1.85
0203467C,1.25
0203467D,1.25
0203468C,2.15
0203468D,2.15
0203470C,1.7
0203470D,1.7
0203471C,1.4
0203471D,1.4
0203472C,1.4
0203472D,1.4
0203473C,1.25
0203473D,1.25
0203474C,1.3
0203474D,1.3
0203475C,1.55
0203475D,1.55
0203476C,1.65
0203476D,1.65
0203477C,2.0
0203477D,2.0
0203478C,1.45
0203478D,1.45
0203479C,2.7
0203479D,2.7
0203480C,1.7
0203480D,1.7
0203481C,2.25
0203481D,2.25
0203482C,2.2
0203482D,2.2
0203483C,1.55
0203483D,1.55
0203484C,1.45
0203484D,1.45
0203485C,1.95
0203485D,1.95
0203487C,1.45
0203487D,1.45
0203488C,3.4
0203488D,3.4
0203489C,1.1
0203489D,1.1
0203490C,1.2
0203490D,1.2
0203491C,2.05
0203491D,2.05
0203492C,1.85
0203492D,1.85
0203493C,1.9
0203493D,1.9
0203494C,1.15
0203494D,1.15
0203495C,1.4
0203495D,1.4
0203496C,1.7
0203496D,1.7
0203497C,1.45
0203497D,1.45
0203498C,1.5
0203498D,1.5
0203499C,1.35
0203499D,1.35
0203500C,1.65
0203500D,1.65
0203501C,2.3
0203501D,2.3
0203502C,2.75
0203502D,2.75
0203503C,2.0
0203503D,2.0
0203504C,2.4
0203504D,2.4
0203505C,1.5
0203505D,1.5
0203506C,1.65
0203506D,1.65
0203508C,1.25
0203508D,1.25
0203509C,1.8
0203509D,1.8
0203510C,1.5
0203510D,1.5
0203511C,1.35
0203511D,1.35
0203512C,1.55
0203512D,1.55
0203513C,1.8
0203513D,1.8
0203514C,2.55
0203514D,2.55
0203515C,1.15
0203515D,1.15
0203516C,1.35
0203516D,1.35
0203517C,1.45
0203517D,1.45
0203518C,1.3
0203518D,1.3
0203519C,1.45
0203519D,1.45
0203520C,1.7
0203520D,1.7
0203521C,1.7
0203521D,1.7
0203522C,1.9
0203522D,1.9
0203523C,1.1
0203523D,1.1
0203524C,1.55
0203524D,1.55
0203525C,1.3
0203525D,1.3
0203526C,1.45
0203526D,1.45
0203527C,1.25
0203527D,1.25
0203528C,1.3
0203528D,1.3
0203529C,1.5
0203529D,1.5
0203530C,1.2
0203530D,1.2
0203531C,2.4
0203531D,2.4
0203532C,1.4
0203532D,1.4
0203533C,1.5
0203533D,1.5
0203534C,1.85
0203534D,1.85
0203535C,1.55
0203535D,1.55
0203536C,1.4
0203536D,1.4
0203537C,1.95
0203537D,1.95
0203538C,1.35
0203538D,1.35
0203539C,1.55
0203539D,1.55
0203540C,1.7
0203540D,1.7
0203541C,1.75
0203541D,1.75
0203542C,1.2
0203542D,1.2
0203543C,1.45
0203543D,1.45
0203544C,1.3
0203544D,1.3
0203546C,1.7
0203546D,1.7
0203547C,1.5
0203547D,1.5
0203548C,1.75
0203548D,1.75
0203549C,1.3
0203549D,1.3
0203550C,1.3
0203550D,1.3
0203551C,1.85
0203551D,1.85
0203552C,1.4
0203552D,1.4
0203553C,2.3
0203553D,2.3
0203554C,1.45
0203554D,1.45
0203555C,1.6
0203555D,1.6
0203556C,1.35
0203556D,1.35
0203557C,1.5
0203557D,1.5
0203558C,1.4
0203558D,1.4
0203559C,1.95
0203559D,1.95
0203560C,2.85
0203560D,2.85
0203561C,1.55
0203561D,1.55
0203562C,1.2
0203562D,1.2
0203563C,1.95
0203563D,1.95
0203564C,1.35
0203564D,1.35
0203565C,1.6
0203565D,1.6
0203566C,2.4
0203566D,2.4
0203567C,1.9
0203567D,1.9
0203568C,1.15
0203568D,1.15
0203569C,2.35
0203569D,2.35
0203571C,1.9
0203571D,1.9
0203573C,1.65
0203573D,1.65
0203574C,1.15
0203574D,1.15
0203576C,2.8
0203576D,2.8
0203577C,1.8
0203577D,1.8
0203578C,1.55
0203578D,1.55
0203579C,1.55
0203579D,1.55
0203580C,1.1
0203580D,1.1
0203582C,1.6
0203582D,1.6
0203583C,1.25
0203583D,1.25
0203584C,1.75
0203584D,1.75
0203586C,1.3
0203586D,1.3
0203587C,1.25
0203587D,1.25
0203588C,1.85
0203588D,1.85
0203589C,1.25
0203589D,1.25
0203590C,2.15
0203590D,2.15
0203591C,1.4
0203591D,1.4
0203592C,1.3
0203592D,1.3
0203593C,1.15
0203593D,1.15
0203594C,1.0
0203594D,1.0
0203595C,1.2
0203595D,1.2
0203596C,2.6
0203596D,2.6
0203597C,1.4
0203597D,1.4
0203598C,1.95
0203598D,1.95
0203599C,1.35
0203599D,1.35
0203600C,1.55
0203600D,1.55
0203601C,1.5
0203601D,1.5
0203602C,1.5
0203602D,1.5
0203603C,1.35
0203603D,1.35
0203604C,1.1
0203604D,1.1
0203605C,1.6
0203605D,1.6
0203606C,1.5
0203606D,1.5
0203607C,1.8
0203607D,1.8
0203608C,1.3
0203608D,1.3
0203610C,2.05
0203610D,2.05
0203611C,1.75
0203611D,1.75
0203612C,1.2
0203612D,1.2
0203613C,2.2
0203613D,2.2
0203614C,2.15
0203614D,2.15
0203615C,1.3
0203615D,1.3
0203616C,1.25
0203616D,1.25
0203617C,1.15
0203617D,1.15
0203618C,1.65
0203618D,1.65
0203619C,1.8
0203619D,1.8
0203620C,1.95
0203620D,1.95
0203621C,1.25
0203621D,1.25
0203622C,1.35
0203622D,1.35
0203623C,1.55
0203623D,1.55
0203625C,1.6
0203625D,1.6
0203627C,2.5
0203627D,2.5
0203628C,2.7
0203628D,2.7
0203629C,2.5
0203629D,2.5
0203630C,2.1
0203630D,2.1
0203631C,2.35
0203631D,2.35
0203632C,2.7
0203632D,2.7
0203633C,2.6
0203633D,2.6
0203634C,2.2
0203634D,2.2
0203635C,2.2
0203635D,2.2
0203636C,2.35
0203636D,2.35
0203637C,2.25
0203637D,2.25
0203638C,1.7
0203638D,1.7
0203639C,2.05
0203639D,2.05
0203640C,1.15
0203640D,1.15
0203641C,1.5
0203641D,1.5
0203642C,1.4
0203642D,1.4
0203643C,1.35
0203643D,1.35
0203644C,1.75
0203644D,1.75
0203645C,1.1
0203645D,1.1
0203646C,1.1
0203646D,1.1
0203647C,1.35
0203647D,1.35
0203648C,1.15
0203648D,1.15
0203649C,1.2
0203649D,1.2
0203650C,1.35
0203650D,1.35
0203651C,1.65
0203651D,1.65
0203652C,1.1
0203652D,1.1
0203653C,1.15
0203653D,1.15
0203656C,1.4
0203656D,1.4
0203657C,1.5
0203657D,1.5
0203658C,1.75
0203658D,1.75
0203659C,1.8
0203659D,1.8
0203660C,1.65
0203660D,1.65
0203661C,1.3
0203661D,1.3
0203663C,1.3
0203663D,1.3
0203664C,1.1
0203664D,1.1
0203665C,1.15
0203665D,1.15
0203666C,1.1
0203666D,1.1
0203667C,1.1
0203667D,1.1
0203668C,1.95
0203668D,1.95
0203669C,2.1
0203669D,2.1
0203670C,1.85
0203670D,1.85
0203671C,1.75
0203671D,1.75
0203672C,1.15
0203672D,1.15
0203673C,1.85
0203673D,1.85
0203674C,1.4
0203674D,1.4
0203675C,1.15
0203675D,1.15
0203676C,1.7
0203676D,1.7
0203677C,1.4
0203677D,1.4
0203678C,2.0
0203678D,2.0
0203679C,1.85
0203679D,1.85
0203680C,1.95
0203680D,1.95
0203681C,1.85
0203681D,1.85
0203682C,2.05
0203682D,2.05
0203683C,1.9
0203683D,1.9
0203684C,1.7
0203684D,1.7
0203685C,1.35
0203685D,1.35
0203686C,1.75
0203686D,1.75
0203687C,1.6
0203687D,1.6
0203688C,1.5
0203688D,1.5
0203689C,1.8
0203689D,1.8
0203690C,1.95
0203690D,1.95
0203691C,1.8
0203691D,1.8
0203692C,1.45
0203692D,1.45
0203693C,1.6
0203693D,1.6
0203694C,1.55
0203694D,1.55
0203695C,1.5
0203695D,1.5
0203696C,1.45
0203696D,1.45
0203697C,1.55
0203697D,1.55
0203698C,2.0
0203698D,2.0
0203699C,2.15
0203699D,2.15
0203700C,2.55
0203700D,2.55
0203701C,2.35
0203701D,2.35
0203702C,2.0
0203702D,2.0
0203703C,2.2
0203703D,2.2
0203704C,1.55
0203704D,1.55
0203705C,2.5
0203705D,2.5
0203706C,2.75
0203706D,2.75
0203707C,2.05
0203707D,2.05
0203708C,1.35
0203708D,1.35
0203709C,1.35
0203709D,1.35
0203710C,1.9
0203710D,1.9
0203711C,3.0
0203711D,3.0
0203712C,1.85
0203712D,1.85
0203713C,2.75
0203713D,2.75
0203714C,1.45
0203714D,1.45
0203715C,1.7
0203715D,1.7
0203717C,1.3
0203717D,1.3
0203718C,1.55
0203718D,1.55
0203719C,1.65
0203719D,1.65
0203720C,2.05
0203720D,2.05
0203721C,1.75
0203721D,1.75
0203722C,1.35
0203722D,1.35
0203723C,2.6
0203723D,2.6
0203725C,1.9
0203725D,1.9
0203726C,1.8
0203726D,1.8
0203727C,2.15
0203727D,2.15
0203728C,1.35
0203728D,1.35
0203729C,1.35
0203729D,1.35
0203730C,1.8
0203730D,1.8
0203731C,1.6
0203731D,1.6
0203732C,1.7
0203732D,1.7
0203733C,2.1
0203733D,2.1
0203734C,1.6
0203734D,1.6
0203735C,2.15
0203735D,2.15
0203736C,1.9
0203736D,1.9
0203737C,2.1
0203737D,2.1
0203738C,1.7
0203738D,1.7
0203739C,1.95
0203739D,1.95
0203740C,1.45
0203740D,1.45
0203741C,2.25
0203741D,2.25
0203742C,2.0
0203742D,2.0
0203743C,1.2
0203743D,1.2
0203744C,1.25
0203744D,1.25
0203745C,2.3
0203745D,2.3
0203746C,1.75
0203746D,1.75
0203747C,1.5
0203747D,1.5
0203748C,1.5
0203748D,1.5
0203750C,1.75
0203750D,1.75
0203751C,1.15
0203751D,1.15
0203752C,1.6
0203752D,1.6
0203753C,2.05
0203753D,2.05
0203754C,1.9
0203754D,1.9
0203755C,2.0
0203755D,2.0
0203756C,2.3
0203756D,2.3
0203757C,1.85
0203757D,1.85
0203758C,2.0
0203758D,2.0
0203759C,2.2
0203759D,2.2
0203760C,1.35
0203760D,1.35
0203761C,1.8
0203761D,1.8
0203762C,2.35
0203762D,2.35
0203764C,2.05
0203764D,2.05
0203765C,2.15
0203765D,2.15
0203766C,2.0
0203766D,2.0
0203767C,1.45
0203767D,1.45
0203768C,2.15
0203768D,2.15
0203769C,1.35
0203769D,1.35
0203770C,2.35
0203770D,2.35
0203771C,1.5
0203771D,1.5
0203772C,2.1
0203772D,2.1
0203773C,2.4
0203773D,2.4
0203774C,2.2
0203774D,2.2
0203775C,2.65
0203775D,2.65
0203776C,1.75
0203776D,1.75
0203777C,1.5
0203777D,1.5
0203778C,2.05
0203778D,2.05
0203779C,1.55
0203779D,1.55
0203780C,2.1
0203780D,2.1
0203781C,1.8
0203781D,1.8
0203782C,2.15
0203782D,2.15
0203783C,1.8
0203783D,1.8
0203784C,1.65
0203784D,1.65
0203785C,1.2
0203785D,1.2
0203787C,2.8
0203787D,2.8
0203788C,1.85
0203788D,1.85
0203789C,1.7
0203789D,1.7
0203790C,1.3
0203790D,1.3
0203791C,2.5
0203791D,2.5
0203792C,2.25
0203792D,2.25
0203793C,1.5
0203793D,1.5
0203794C,2.05
0203794D,2.05
0203795C,2.05
0203795D,2.05
0203797C,2.25
0203797D,2.25
0203798C,2.25
0203798D,2.25
0203799C,2.35
0203799D,2.35
0203800C,1.9
0203800D,1.9
0203801C,1.75
0203801D,1.75
0203802C,1.95
0203802D,1.95
0203803C,1.95
0203803D,1.95
0203804C,1.5
0203804D,1.5
0203805C,3.15
0203805D,3.15
0203806C,2.65
0203806D,2.65
0203807C,3.05
0203807D,3.05
0203810C,2.4
0203810D,2.4
0203811C,1.95
0203811D,1.95
0203812C,1.65
0203812D,1.65
0203814C,2.05
0203814D,2.05
0203815C,1.7
0203815D,1.7
0203816C,3.25
0203816D,3.25
0203817C,3.0
0203817D,3.0
0203818C,3.3
0203818D,3.3
0203819C,3.5
0203819D,3.5
0203820C,3.75
0203820D,3.75
0203821C,3.65
0203821D,3.65
0203822C,3.35
0203822D,3.35
0203823C,3.2
0203823D,3.2
0203824C,3.3
0203824D,3.3
0203825C,3.35
0203825D,3.35
0203826C,3.15
0203826D,3.15
0203827C,3.5
0203827D,3.5
0203828C,3.5
0203828D,3.5
0203829C,1.85
0203829D,1.85
0203830C,3.3
0203830D,3.3
0203831C,3.25
0203831D,3.25
0203832C,3.15
0203832D,3.15
0203833C,3.45
0203833D,3.45
0203834C,3.3
0203834D,3.3
0203835C,3.3
0203835D,3.3
0203836C,3.5
0203836D,3.5
0203837C,3.4
0203837D,3.4
0203838C,3.6
0203838D,3.6
0203839C,3.55
0203839D,3.55
0203840C,3.3
0203840D,3.3
0203841C,3.45
0203841D,3.45
0203842C,3.25
0203842D,3.25
0203843C,3.6
0203843D,3.6
0203844C,3.5
0203844D,3.5
0203845C,3.45
0203845D,3.45
0203846C,3.55
0203846D,3.55
0203847C,3.65
0203847D,3.65
0203848C,3.35
0203848D,3.35
0203849C,1.75
0203849D,1.75
0203850C,1.4
0203850D,1.4
0203853C,1.3
0203853D,1.3
0203854C,1.4
0203854D,1.4
0203855C,1.65
0203855D,1.65
0203856C,1.05
0203856D,1.05
0203857C,1.15
0203857D,1.15
0203858C,1.4
0203858D,1.4
0203859C,1.5
0203859D,1.5
0203860C,1.55
0203860D,1.55
0203861C,1.3
0203861D,1.3
0203862C,1.35
0203862D,1.35
0203863C,1.3
0203863D,1.3
0203864C,1.15
0203864D,1.15
0203865C,1.35
0203865D,1.35
0203866C,1.5
0203866D,1.5
0203867C,1.65
0203867D,1.65
0203868C,1.45
0203868D,1.45
0203869C,1.05
0203869D,1.05
0203870C,1.4
0203870D,1.4
0203871C,1.65
0203871D,1.65
0203872C,1.55
0203872D,1.55
0203873C,1.25
0203873D,1.25
0203874C,1.3
0203874D,1.3
0203875C,1.6
0203875D,1.6
0203876C,2.0
0203876D,2.0
0203877C,1.3
0203877D,1.3
0203878C,1.55
0203878D,1.55
0203879C,1.95
0203879D,1.95
0203880C,1.6
0203880D,1.6
0203881C,1.1
0203881D,1.1
0203882C,1.2
0203882D,1.2
0203883C,1.35
0203883D,1.35
0203884C,1.25
0203884D,1.25
0203885C,1.5
0203885D,1.5
0203886C,1.8
0203886D,1.8
0203887C,1.9
0203887D,1.9
0203888C,1.5
0203888D,1.5
0203889C,1.35
0203889D,1.35
0203890C,1.4
0203890D,1.4
0203891C,1.25
0203891D,1.25
0203892C,1.15
0203892D,1.15
0203893C,1.2
0203893D,1.2
0203894C,1.2
0203894D,1.2
0203896C,1.3
0203896D,1.3
0203897C,1.0
0203897D,1.0
0203898C,1.35
0203898D,1.35
0203899C,1.15
0203899D,1.15
0203900C,1.75
0203900D,1.75
0203901C,1.35
0203901D,1.35
0203902C,1.9
0203902D,1.9
0203903C,1.5
0203903D,1.5
0203904C,1.25
0203904D,1.25
0203905C,1.35
0203905D,1.35
0203906C,1.3
0203906D,1.3
0203907C,1.3
0203907D,1.3
0203908C,1.65
0203908D,1.65
0203909C,1.85
0203909D,1.85
0203910C,1.45
0203910D,1.45
0203911C,1.15
0203911D,1.15
0203912C,1.3
0203912D,1.3
0203913C,1.45
0203913D,1.45
0203914C,1.6
0203914D,1.6
0203915C,1.25
0203915D,1.25
0203916C,1.25
0203916D,1.25
0203917C,2.15
0203917D,2.15
0203918C,2.6
0203918D,2.6
0203919C,1.6
0203919D,1.6
0203920C,1.25
0203920D,1.25
0203921C,1.45
0203921D,1.45
0203923C,1.95
0203923D,1.95
0203924C,2.35
0203924D,2.35
0203925C,1.9
0203925D,1.9
0203926C,1.35
0203926D,1.35
0203927C,1.15
0203927D,1.15
0203928C,1.45
0203928D,1.45
0203929C,1.3
0203929D,1.3
0203930C,1.65
0203930D,1.65
0203931C,2.1
0203931D,2.1
0203932C,2.0
0203932D,2.0
0203933C,1.8
0203933D,1.8
0203934C,2.3
0203934D,2.3
0203935C,1.55
0203935D,1.55
0203936C,1.5
0203936D,1.5
0203937C,1.55
0203937D,1.55
0203938C,1.35
0203938D,1.35
0203939C,1.55
0203939D,1.55
0203940C,1.1
0203940D,1.1
0203941C,1.35
0203941D,1.35
0203942C,1.2
0203942D,1.2
0203943C,1.2
0203943D,1.2
0203944C,1.3
0203944D,1.3
0203945C,2.1
0203945D,2.1
0203946C,1.1
0203946D,1.1
0203947C,1.15
0203947D,1.15
0203948C,1.55
0203948D,1.55
0203949C,1.45
0203949D,1.45
0203950C,1.4
0203950D,1.4
0203951C,1.7
0203951D,1.7
0203952C,1.6
0203952D,1.6
0203953C,1.55
0203953D,1.55
0203954C,1.2
0203954D,1.2
0203955C,1.7
0203955D,1.7
0203956C,1.4
0203956D,1.4
0203957C,1.9
0203957D,1.9
0203958C,1.4
0203958D,1.4
0203959C,1.55
0203959D,1.55
0203960C,1.9
0203960D,1.9
0203961C,1.25
0203961D,1.25
0203962C,1.15
0203962D,1.15
0203963C,1.25
0203963D,1.25
0203964C,1.35
0203964D,1.35
0203965C,1.65
0203965D,1.65
0203966C,1.3
0203966D,1.3
0203967C,1.6
0203967D,1.6
0203970C,1.9
0203970D,1.9
0203971C,2.2
0203971D,2.2
0203972C,2.45
0203972D,2.45
0203973C,1.55
0203973D,1.55
0203974C,1.95
0203974D,1.95
0203975C,2.35
0203975D,2.35
0203976C,2.0
0203976D,2.0
0203977C,2.8
0203977D,2.8
0203978C,2.75
0203978D,2.75
0203979C,1.9
0203979D,1.9
0203980C,1.6
0203980D,1.6
0203981C,2.9
0203981D,2.9
0203982C,1.45
0203982D,1.45
0203983C,2.8
0203983D,2.8
0203984C,2.45
0203984D,2.45
0203985C,3.15
0203985D,3.15
0203986C,1.45
0203986D,1.45
0203987C,2.4
0203987D,2.4
0203988C,2.25
0203988D,2.25
0203989C,2.2
0203989D,2.2
0203990C,2.1
0203990D,2.1
0203991C,2.1
0203991D,2.1
0203992C,2.0
0203992D,2.0
0203993C,1.8
0203993D,1.8
0203994C,2.0
0203994D,2.0
0203996C,1.75
0203996D,1.75
0203997C,1.65
0203997D,1.65
0203998C,2.0
0203998D,2.0
0203999C,2.2
0203999D,2.2
0204000C,2.35
0204000D,2.35
0204001C,2.8
0204001D,2.8
0204002C,1.4
0204002D,1.4
0204003C,2.05
0204003D,2.05
0204004C,2.1
0204004D,2.1
0204005C,2.35
0204005D,2.35
0204006C,1.65
0204006D,1.65
0204007C,1.85
0204007D,1.85
0204008C,2.7
0204008D,2.7
0204009C,2.05
0204009D,2.05
0204010C,2.6
0204010D,2.6
0204011C,2.9
0204011D,2.9
0204012C,1.9
0204012D,1.9
0204013C,2.75
0204013D,2.75
0204014C,2.3
0204014D,2.3
0204015C,2.25
0204015D,2.25
0204016C,1.55
0204016D,1.55
0204017C,2.1
0204017D,2.1
0204018C,2.05
0204018D,2.05
0204019C,2.35
0204019D,2.35
0204020C,2.65
0204020D,2.65
0204021C,2.2
0204021D,2.2
0204022C,2.8
0204022D,2.8
0204024C,2.9
0204024D,2.9
0204025C,2.4
0204025D,2.4
0204026C,1.85
0204026D,1.85
0204027C,2.5
0204027D,2.5
0204028C,2.4
0204028D,2.4
0204029C,2.1
0204029D,2.1
0204030C,2.1
0204030D,2.1
0204031C,2.0
0204031D,2.0
0204032C,2.3
0204032D,2.3
0204033C,2.1
0204033D,2.1
0204034C,1.85
0204034D,1.85
0204035C,1.75
0204035D,1.75
0204036C,2.55
0204036D,2.55
0204037C,2.5
0204037D,2.5
0204038C,2.2
0204038D,2.2
0204039C,1.85
0204039D,1.85
0204040C,1.4
0204040D,1.4
0204041C,2.35
0204041D,2.35
0204042C,2.3
0204042D,2.3
0204043C,2.25
0204043D,2.25
0204044C,2.0
0204044D,2.0
0204045C,1.95
0204045D,1.95
0204046C,1.85
0204046D,1.85
0204047C,2.15
0204047D,2.15
0204048C,2.25
0204048D,2.25
0204049C,2.8
0204049D,2.8
0204050C,3.6
0204050D,3.6
0204051C,2.95
0204051D,2.95
0204052C,3.4
