Symbol,GPA
0200196C,1.45
0200196D,1.45
0200197C,1.8
0200197D,1.8
0200198C,1.65
0200198D,1.65
0200199C,1.7
0200199D,1.7
0200200C,1.45
0200200D,1.45
0200202C,1.45
0200202D,1.45
0200203C,2.05
0200203D,2.05
0200204C,2.1
0200204D,2.1
0200205C,1.95
0200205D,1.95
0200206C,1.9
0200206D,1.9
0200207C,1.85
0200207D,1.85
0200208C,2.2
0200208D,2.2
0200209C,1.9
0200209D,1.9
0200210C,2.15
0200210D,2.15
0200211C,1.8
0200211D,1.8
0200212C,1.8
0200212D,1.8
0200213C,1.75
0200213D,1.75
0200216C,1.8
0200216D,1.8
0200217C,1.95
0200217D,1.95
0200218C,1.3
0200218D,1.3
0200219C,1.4
0200219D,1.4
0200220C,2.05
0200220D,2.05
0200221C,1.8
0200221D,1.8
0200222C,1.55
0200222D,1.55
0200223C,1.9
0200223D,1.9
0200224C,1.55
0200224D,1.55
0200225C,2.0
0200225D,2.0
0200226C,2.05
0200226D,2.05
0200227C,3.05
0200227D,3.05
0200228C,3.05
0200228D,3.05
0200229C,2.55
0200229D,2.55
0200230C,1.3
0200230D,1.3
0200231C,2.1
0200231D,2.1
0200232C,2.15
0200232D,2.15
0200233C,1.35
0200233D,1.35
0200235C,1.6
0200235D,1.6
0200236C,2.55
0200236D,2.55
0200237C,1.8
0200237D,1.8
0200238C,2.3
0200238D,2.3
0200239C,2.2
0200239D,2.2
0200241C,1.8
0200241D,1.8
0200242C,3.1
0200242D,3.1
0200243C,2.8
0200243D,2.8
0200244C,3.0
0200244D,3.0
0200245C,2.15
0200245D,2.15
0200246C,3.8
0200246D,3.8
0200247C,2.7
0200247D,2.7
0200248C,2.75
0200248D,2.75
0200249C,2.55
0200249D,2.55
0200250C,2.7
0200250D,2.7
0200251C,1.95
0200251D,1.95
0200252C,1.8
0200252D,1.8
0200253C,1.55
0200253D,1.55
0200254C,2.55
0200254D,2.55
0200255C,1.85
0200255D,1.85
0200256C,2.4
0200256D,2.4
0200257C,3.6
0200257D,3.6
0200258C,2.35
0200258D,2.35
0200259C,2.45
0200259D,2.45
0200261C,3.55
0200261D,3.55
0200262C,3.25
0200262D,3.25
0200263C,3.7
0200263D,3.7
0200264C,1.7
0200264D,1.7
0200265C,1.85
0200265D,1.85
0200266C,1.35
0200266D,1.35
0200267C,1.55
0200267D,1.55
0200268C,2.15
0200268D,2.15
0200269C,2.0
0200269D,2.0
0200270C,1.1
0200270D,1.1
0200271C,2.2
0200271D,2.2
0200272C,1.35
0200272D,1.35
0200273C,1.5
0200273D,1.5
0200274C,1.65
0200274D,1.65
0200275C,1.5
0200275D,1.5
0200276C,1.25
0200276D,1.25
0200277C,1.55
0200277D,1.55
0200278C,1.45
0200278D,1.45
0200279C,2.0
0200279D,2.0
0200280C,1.75
0200280D,1.75
0200281C,2.0
0200281D,2.0
0200282C,2.2
0200282D,2.2
0200283C,1.8
0200283D,1.8
0200285C,1.4
0200285D,1.4
0200286C,1.6
0200286D,1.6
0200287C,1.5
0200287D,1.5
0200288C,2.0
0200288D,2.0
0200289C,1.95
0200289D,1.95
0200290C,1.9
0200290D,1.9
0200292C,2.2
0200292D,2.2
0200293C,2.85
0200293D,2.85
0200294C,2.25
0200294D,2.25
0200295C,2.15
0200295D,2.15
0200296C,1.95
0200296D,1.95
0200297C,2.7
0200297D,2.7
0200298C,1.4
0200298D,1.4
0200299C,2.65
0200299D,2.65
0200300C,1.6
0200300D,1.6
0200301C,1.3
0200301D,1.3
0200302C,1.35
0200302D,1.35
0200303C,2.1
0200303D,2.1
0200304C,2.6
0200304D,2.6
0200305C,1.8
0200305D,1.8
0200306C,2.45
0200306D,2.45
0200307C,1.6
0200307D,1.6
0200308C,1.5
0200308D,1.5
0200309C,1.1
0200309D,1.1
0200310C,1.6
0200310D,1.6
0200311C,1.3
0200311D,1.3
0200312C,1.15
0200312D,1.15
0200313C,1.55
0200313D,1.55
0200314C,2.35
0200314D,2.35
0200315C,1.8
0200315D,1.8
0200316C,1.85
0200316D,1.85
0200317C,1.9
0200317D,1.9
0200318C,1.25
0200318D,1.25
0200319C,1.75
0200319D,1.75
0200320C,1.6
0200320D,1.6
0200321C,2.1
0200321D,2.1
0200322C,2.05
0200322D,2.05
0200323C,1.05
0200323D,1.05
0200324C,2.35
0200324D,2.35
0200325C,1.4
0200325D,1.4
0200326C,3.3
0200326D,3.3
0200327C,2.3
0200327D,2.3
0200328C,1.0
0200328D,1.0
0200329C,1.25
0200329D,1.25
0200330C,1.8
0200330D,1.8
0200331C,1.35
0200331D,1.35
0200332C,2.25
0200332D,2.25
0200333C,1.45
0200333D,1.45
0200334C,1.4
0200334D,1.4
0200335C,1.5
0200335D,1.5
0200336C,1.3
0200336D,1.3
0200337C,1.9
0200337D,1.9
0200338C,1.45
0200338D,1.45
0200339C,1.35
0200339D,1.35
0200340C,1.3
0200340D,1.3
0200341C,1.9
0200341D,1.9
0200342C,1.75
0200342D,1.75
0200343C,1.4
0200343D,1.4
0200344C,1.8
0200344D,1.8
0200345C,1.7
0200345D,1.7
0200346C,1.95
0200346D,1.95
0200347C,2.1
0200347D,2.1
0200348C,2.35
0200348D,2.35
0200349C,1.35
0200349D,1.35
0200350C,1.4
0200350D,1.4
0200352C,1.3
0200352D,1.3
0200353C,1.35
0200353D,1.35
0200354C,1.85
0200354D,1.85
0200355C,2.1
0200355D,2.1
0200356C,1.1
0200356D,1.1
0200357C,1.2
0200357D,1.2
0200358C,2.1
0200358D,2.1
0200359C,1.75
0200359D,1.75
0200360C,1.45
0200360D,1.45
0200361C,1.9
0200361D,1.9
0200362C,2.0
0200362D,2.0
0200363C,1.7
0200363D,1.7
0200364C,1.85
0200364D,1.85
0200365C,2.25
0200365D,2.25
0200366C,2.2
0200366D,2.2
0200367C,1.0
0200367D,1.0
0200368C,1.85
0200368D,1.85
0200369C,1.5
0200369D,1.5
0200370C,1.9
0200370D,1.9
0200371C,2.3
0200371D,2.3
0200372C,1.85
0200372D,1.85
0200373C,2.05
0200373D,2.05
0200374C,2.65
0200374D,2.65
0200375C,1.25
0200375D,1.25
0200376C,2.0
0200376D,2.0
0200377C,1.95
0200377D,1.95
0200378C,2.0
0200378D,2.0
0200379C,2.3
0200379D,2.3
0200380C,2.3
0200380D,2.3
0200381C,2.15
0200381D,2.15
0200382C,1.25
0200382D,1.25
0200383C,2.35
0200383D,2.35
0200384C,1.25
0200384D,1.25
0200385C,1.15
0200385D,1.15
0200386C,1.75
0200386D,1.75
0200387C,1.65
0200387D,1.65
0200388C,2.6
0200388D,2.6
0200390C,1.9
0200390D,1.9
0200392C,2.05
0200392D,2.05
0200393C,1.95
0200393D,1.95
0200394C,1.6
0200394D,1.6
0200395C,2.3
0200395D,2.3
0200397C,1.55
0200397D,1.55
0200399C,2.55
0200399D,2.55
0200400C,2.0
0200400D,2.0
0200401C,1.75
0200401D,1.75
0200402C,2.05
0200402D,2.05
0200403C,2.15
0200403D,2.15
0200404C,1.85
0200404D,1.85
0200405C,2.1
0200405D,2.1
0200406C,1.15
0200406D,1.15
0200407C,1.1
0200407D,1.1
0200408C,1.45
0200408D,1.45
0200409C,2.9
0200409D,2.9
0200410C,1.45
0200410D,1.45
0200411C,1.85
0200411D,1.85
0200412C,3.65
0200412D,3.65
0200413C,3.45
0200413D,3.45
0200415C,2.05
0200415D,2.05
0200416C,1.45
0200416D,1.45
0200417C,1.9
0200417D,1.9
0200418C,1.35
0200418D,1.35
0200419C,1.5
0200419D,1.5
0200420C,1.85
0200420D,1.85
0200421C,2.25
0200421D,2.25
0200422C,2.95
0200422D,2.95
0200423C,2.85
0200423D,2.85
0200424C,1.6
0200424D,1.6
0200425C,1.95
0200425D,1.95
0200426C,1.35
0200426D,1.35
0200427C,2.4
0200427D,2.4
0200428C,2.2
0200428D,2.2
0200429C,2.4
0200429D,2.4
0200431C,2.65
0200431D,2.65
0200432C,2.7
0200432D,2.7
0200433C,3.1
0200433D,3.1
0200434C,2.9
